Date,Open,High,Low,Close,Adj Close,Volume,ADTV 10,ADTV Std 10
2011-11-01,5.678,5.784,5.6,5.776,5.776,3176000,4986730,9734400
2011-11-02,5.8,5.852,5.65,5.742,5.742,4376500,5011523,10569001
2011-11-03,6.0,6.498,5.906,6.492,6.492,12548500,5769002,18844281
2011-11-04,6.292,6.48,6.102,6.462,6.462,15164500,6789900,22420225
2011-11-07,6.328,6.4,6.15,6.254,6.254,6331500,7054840,14115049
2011-11-08,6.274,6.4,6.144,6.368,6.368,5839500,7338084,12974404
2011-11-09,6.174,6.298,6.06,6.176,6.176,4768500,7588008,12033961
2011-11-10,6.188,6.3,6.13,6.266,6.266,3736500,7551950,11155600
2011-11-11,6.38,6.9,6.114,6.728,6.728,19341500,8850495,27060804
2011-11-14,6.6,6.708,6.524,6.644,6.644,6628500,9076199,16329681
2011-11-15,6.584,6.88,6.546,6.786,6.786,4455000,9226669,13512976
2011-11-16,6.696,7.0,6.68,6.988,6.988,9166000,9720666,18412681
2011-11-17,6.9,6.98,6.638,6.736,6.736,6746500,9189866,16826404
2011-11-18,6.728,6.822,6.508,6.52,6.52,4514000,8071736,14561856
2011-11-21,6.488,6.488,6.21,6.352,6.352,5158000,7842573,15054400
